"file"	"flag"
"2019_214/2019-08-02T01-10-15+00-00"	1
"2019_214/2019-08-02T01-13-15+00-00"	0
"2019_214/2019-08-02T01-16-15+00-00"	0
"2019_214/2019-08-02T01-19-16+00-00"	0
"2019_214/2019-08-02T01-22-16+00-00"	0
"2019_214/2019-08-02T01-25-16+00-00"	0
"2019_214/2019-08-02T01-28-16+00-00"	0
"2019_214/2019-08-02T01-31-17+00-00"	0
"2019_214/2019-08-02T01-34-17+00-00"	0
"2019_214/2019-08-02T01-37-17+00-00"	0
"2019_214/2019-08-02T01-40-17+00-00"	0
"2019_214/2019-08-02T01-43-18+00-00"	0
"2019_214/2019-08-02T01-46-18+00-00"	0
"2019_214/2019-08-02T01-49-18+00-00"	0
"2019_214/2019-08-02T01-52-18+00-00"	0
"2019_214/2019-08-02T01-55-19+00-00"	0
"2019_214/2019-08-02T01-58-19+00-00"	0
"2019_214/2019-08-02T02-01-19+00-00"	0
"2019_214/2019-08-02T02-04-19+00-00"	0
"2019_214/2019-08-02T02-07-20+00-00"	0
"2019_214/2019-08-02T02-10-20+00-00"	0
"2019_214/2019-08-02T02-13-20+00-00"	0
"2019_214/2019-08-02T02-16-20+00-00"	0
"2019_214/2019-08-02T02-19-21+00-00"	0
"2019_214/2019-08-02T02-22-21+00-00"	0
"2019_214/2019-08-02T02-25-21+00-00"	2
"2019_214/2019-08-02T02-28-21+00-00"	0
"2019_214/2019-08-02T02-31-21+00-00"	0
"2019_214/2019-08-02T02-34-22+00-00"	2
"2019_214/2019-08-02T02-37-22+00-00"	0
"2019_214/2019-08-02T02-40-22+00-00"	0
"2019_214/2019-08-02T02-43-22+00-00"	2
"2019_214/2019-08-02T02-46-23+00-00"	2
"2019_214/2019-08-02T02-49-23+00-00"	2
"2019_214/2019-08-02T02-52-23+00-00"	2
"2019_214/2019-08-02T02-55-23+00-00"	2
"2019_214/2019-08-02T02-58-24+00-00"	2
"2019_214/2019-08-02T03-01-24+00-00"	2
"2019_214/2019-08-02T03-04-24+00-00"	2
"2019_214/2019-08-02T03-07-24+00-00"	0
"2019_214/2019-08-02T03-10-25+00-00"	2
"2019_214/2019-08-02T03-13-25+00-00"	0
"2019_214/2019-08-02T03-16-25+00-00"	2
"2019_214/2019-08-02T03-19-25+00-00"	0
"2019_214/2019-08-02T03-22-26+00-00"	0
"2019_214/2019-08-02T03-25-26+00-00"	0
"2019_214/2019-08-02T03-28-26+00-00"	2
"2019_214/2019-08-02T03-31-26+00-00"	2
"2019_214/2019-08-02T03-34-27+00-00"	2
"2019_214/2019-08-02T03-37-27+00-00"	2
"2019_214/2019-08-02T03-40-27+00-00"	2
"2019_214/2019-08-02T03-43-27+00-00"	2
"2019_214/2019-08-02T03-46-28+00-00"	2
"2019_214/2019-08-02T03-49-28+00-00"	2
"2019_214/2019-08-02T03-52-28+00-00"	2
"2019_214/2019-08-02T03-55-28+00-00"	1
"2019_214/2019-08-02T03-58-29+00-00"	1
"2019_214/2019-08-02T04-01-29+00-00"	1
"2019_214/2019-08-02T04-04-29+00-00"	1
"2019_214/2019-08-02T04-07-29+00-00"	2
"2019_214/2019-08-02T04-10-30+00-00"	0
"2019_214/2019-08-02T04-13-30+00-00"	2
"2019_214/2019-08-02T04-16-30+00-00"	2
"2019_214/2019-08-02T04-19-30+00-00"	2
"2019_214/2019-08-02T04-22-30+00-00"	2
"2019_214/2019-08-02T04-25-31+00-00"	2
"2019_214/2019-08-02T04-28-31+00-00"	2
"2019_214/2019-08-02T04-31-31+00-00"	2
"2019_214/2019-08-02T04-34-31+00-00"	2
"2019_214/2019-08-02T04-37-32+00-00"	2
"2019_214/2019-08-02T04-40-32+00-00"	2
"2019_214/2019-08-02T04-43-32+00-00"	2
"2019_214/2019-08-02T04-46-32+00-00"	2
"2019_214/2019-08-02T04-49-33+00-00"	2
"2019_214/2019-08-02T04-52-33+00-00"	2
"2019_214/2019-08-02T04-55-33+00-00"	2
"2019_214/2019-08-02T04-58-33+00-00"	2
"2019_214/2019-08-02T05-01-33+00-00"	2
"2019_214/2019-08-02T05-04-34+00-00"	2
"2019_214/2019-08-02T05-07-34+00-00"	2
"2019_214/2019-08-02T05-10-34+00-00"	2
"2019_214/2019-08-02T05-13-34+00-00"	2
"2019_214/2019-08-02T05-16-35+00-00"	2
"2019_214/2019-08-02T05-19-35+00-00"	2
"2019_214/2019-08-02T05-22-35+00-00"	2
"2019_214/2019-08-02T05-25-35+00-00"	2
"2019_214/2019-08-02T05-28-36+00-00"	2
"2019_214/2019-08-02T05-31-36+00-00"	2
"2019_214/2019-08-02T05-34-36+00-00"	2
"2019_214/2019-08-02T05-37-36+00-00"	2
"2019_214/2019-08-02T05-40-37+00-00"	2
"2019_214/2019-08-02T05-43-37+00-00"	2
"2019_214/2019-08-02T05-46-37+00-00"	0
"2019_214/2019-08-02T05-49-38+00-00"	2
"2019_214/2019-08-02T05-52-38+00-00"	2
"2019_214/2019-08-02T05-55-38+00-00"	2
"2019_214/2019-08-02T05-58-38+00-00"	2
"2019_214/2019-08-02T06-01-38+00-00"	2
"2019_214/2019-08-02T06-04-39+00-00"	2
"2019_214/2019-08-02T06-07-39+00-00"	0
"2019_214/2019-08-02T06-10-39+00-00"	2
"2019_214/2019-08-02T06-13-39+00-00"	2
"2019_214/2019-08-02T06-16-40+00-00"	2
"2019_214/2019-08-02T06-19-40+00-00"	2
"2019_214/2019-08-02T06-22-40+00-00"	2
"2019_214/2019-08-02T06-25-40+00-00"	2
"2019_214/2019-08-02T06-28-41+00-00"	2
"2019_214/2019-08-02T06-31-41+00-00"	2
"2019_214/2019-08-02T06-34-41+00-00"	2
"2019_214/2019-08-02T06-37-41+00-00"	2
"2019_214/2019-08-02T06-40-42+00-00"	2
"2019_214/2019-08-02T06-43-42+00-00"	2
"2019_214/2019-08-02T06-46-42+00-00"	2
"2019_214/2019-08-02T06-49-42+00-00"	2
"2019_214/2019-08-02T06-52-43+00-00"	2
"2019_214/2019-08-02T06-55-43+00-00"	2
"2019_214/2019-08-02T06-58-43+00-00"	2
"2019_214/2019-08-02T07-01-43+00-00"	2
"2019_214/2019-08-02T07-04-44+00-00"	2
"2019_214/2019-08-02T07-07-44+00-00"	3
"2019_214/2019-08-02T07-10-44+00-00"	2
"2019_214/2019-08-02T07-13-44+00-00"	2
"2019_214/2019-08-02T07-16-45+00-00"	2
"2019_214/2019-08-02T07-19-45+00-00"	2
"2019_214/2019-08-02T07-22-45+00-00"	2
"2019_214/2019-08-02T07-25-45+00-00"	2
"2019_214/2019-08-02T07-28-45+00-00"	2
"2019_214/2019-08-02T07-31-46+00-00"	2
"2019_214/2019-08-02T07-34-46+00-00"	2
"2019_214/2019-08-02T07-37-46+00-00"	2
"2019_214/2019-08-02T07-40-46+00-00"	2
"2019_214/2019-08-02T07-43-47+00-00"	2
"2019_214/2019-08-02T07-46-47+00-00"	2
"2019_214/2019-08-02T07-49-47+00-00"	2
"2019_214/2019-08-02T07-52-47+00-00"	2
"2019_214/2019-08-02T07-55-48+00-00"	2
