"file"	"flag"
"2015_206/2015-07-25T00-19-45+00-00"	1
"2015_206/2015-07-25T00-22-45+00-00"	3
"2015_206/2015-07-25T00-25-45+00-00"	0
"2015_206/2015-07-25T00-28-46+00-00"	3
"2015_206/2015-07-25T00-31-46+00-00"	0
"2015_206/2015-07-25T00-34-46+00-00"	0
"2015_206/2015-07-25T00-37-46+00-00"	0
"2015_206/2015-07-25T00-40-47+00-00"	3
"2015_206/2015-07-25T00-43-47+00-00"	0
"2015_206/2015-07-25T00-46-47+00-00"	0
"2015_206/2015-07-25T00-49-47+00-00"	0
"2015_206/2015-07-25T00-52-48+00-00"	3
"2015_206/2015-07-25T00-55-48+00-00"	3
"2015_206/2015-07-25T00-58-48+00-00"	0
"2015_206/2015-07-25T01-01-48+00-00"	0
"2015_206/2015-07-25T01-04-49+00-00"	0
"2015_206/2015-07-25T01-07-49+00-00"	0
"2015_206/2015-07-25T01-10-49+00-00"	0
"2015_206/2015-07-25T01-13-49+00-00"	0
"2015_206/2015-07-25T01-16-49+00-00"	0
"2015_206/2015-07-25T01-19-50+00-00"	0
"2015_206/2015-07-25T01-22-50+00-00"	0
"2015_206/2015-07-25T01-25-50+00-00"	0
"2015_206/2015-07-25T01-28-50+00-00"	0
"2015_206/2015-07-25T01-31-51+00-00"	0
"2015_206/2015-07-25T01-34-51+00-00"	0
"2015_206/2015-07-25T01-37-51+00-00"	0
"2015_206/2015-07-25T01-40-51+00-00"	0
"2015_206/2015-07-25T01-43-52+00-00"	1
"2015_206/2015-07-25T01-46-52+00-00"	1
"2015_206/2015-07-25T01-49-52+00-00"	0
"2015_206/2015-07-25T01-52-52+00-00"	1
"2015_206/2015-07-25T01-55-52+00-00"	0
"2015_206/2015-07-25T01-58-53+00-00"	3
"2015_206/2015-07-25T02-01-53+00-00"	1
"2015_206/2015-07-25T02-04-53+00-00"	1
"2015_206/2015-07-25T02-34-15+00-00"	1
"2015_206/2015-07-25T02-37-15+00-00"	1
"2015_206/2015-07-25T03-40-40+00-00"	1
"2015_206/2015-07-25T03-43-40+00-00"	3
"2015_206/2015-07-25T03-46-40+00-00"	3
"2015_206/2015-07-25T03-49-41+00-00"	3
"2015_206/2015-07-25T03-52-41+00-00"	0
"2015_206/2015-07-25T03-55-41+00-00"	0
"2015_206/2015-07-25T03-58-41+00-00"	3
"2015_206/2015-07-25T04-01-42+00-00"	3
"2015_206/2015-07-25T04-04-42+00-00"	3
"2015_206/2015-07-25T04-07-42+00-00"	3
"2015_206/2015-07-25T04-10-42+00-00"	3
"2015_206/2015-07-25T04-13-43+00-00"	3
"2015_206/2015-07-25T04-16-43+00-00"	3
"2015_206/2015-07-25T04-19-43+00-00"	3
"2015_206/2015-07-25T04-22-43+00-00"	3
"2015_206/2015-07-25T04-25-44+00-00"	3
"2015_206/2015-07-25T04-28-44+00-00"	0
"2015_206/2015-07-25T04-31-44+00-00"	0
"2015_206/2015-07-25T04-34-44+00-00"	0
"2015_206/2015-07-25T04-37-45+00-00"	0
"2015_206/2015-07-25T04-40-45+00-00"	3
"2015_206/2015-07-25T04-43-45+00-00"	0
"2015_206/2015-07-25T04-46-45+00-00"	3
"2015_206/2015-07-25T04-49-46+00-00"	3
"2015_206/2015-07-25T04-52-46+00-00"	3
"2015_206/2015-07-25T04-55-46+00-00"	3
"2015_206/2015-07-25T04-58-46+00-00"	3
"2015_206/2015-07-25T05-01-47+00-00"	3
"2015_206/2015-07-25T05-04-47+00-00"	3
"2015_206/2015-07-25T05-07-47+00-00"	3
"2015_206/2015-07-25T05-10-47+00-00"	3
"2015_206/2015-07-25T05-13-48+00-00"	3
"2015_206/2015-07-25T05-16-48+00-00"	1
"2015_206/2015-07-25T05-19-48+00-00"	3
"2015_206/2015-07-25T05-22-48+00-00"	3
"2015_206/2015-07-25T05-25-49+00-00"	3
"2015_206/2015-07-25T05-28-49+00-00"	3
"2015_206/2015-07-25T05-31-49+00-00"	3
"2015_206/2015-07-25T05-34-49+00-00"	3
"2015_206/2015-07-25T05-37-50+00-00"	3
"2015_206/2015-07-25T05-40-50+00-00"	0
"2015_206/2015-07-25T05-43-50+00-00"	0
"2015_206/2015-07-25T05-46-50+00-00"	3
"2015_206/2015-07-25T05-49-50+00-00"	3
"2015_206/2015-07-25T05-52-51+00-00"	3
"2015_206/2015-07-25T05-55-51+00-00"	3
"2015_206/2015-07-25T05-58-51+00-00"	3
"2015_206/2015-07-25T06-01-51+00-00"	3
"2015_206/2015-07-25T06-04-52+00-00"	3
"2015_206/2015-07-25T06-07-52+00-00"	0
"2015_206/2015-07-25T06-10-52+00-00"	0
"2015_206/2015-07-25T06-13-52+00-00"	0
"2015_206/2015-07-25T06-16-53+00-00"	0
"2015_206/2015-07-25T06-19-53+00-00"	0
"2015_206/2015-07-25T06-22-53+00-00"	0
"2015_206/2015-07-25T06-25-53+00-00"	3
"2015_206/2015-07-25T06-28-54+00-00"	0
"2015_206/2015-07-25T06-31-54+00-00"	0
"2015_206/2015-07-25T06-34-54+00-00"	0
"2015_206/2015-07-25T06-37-54+00-00"	0
"2015_206/2015-07-25T06-40-55+00-00"	0
"2015_206/2015-07-25T06-43-55+00-00"	0
"2015_206/2015-07-25T06-46-55+00-00"	0
"2015_206/2015-07-25T06-49-55+00-00"	0
"2015_206/2015-07-25T06-52-56+00-00"	0
"2015_206/2015-07-25T06-55-56+00-00"	0
"2015_206/2015-07-25T06-58-56+00-00"	0
"2015_206/2015-07-25T07-01-56+00-00"	0
"2015_206/2015-07-25T07-04-56+00-00"	0
"2015_206/2015-07-25T07-07-57+00-00"	0
"2015_206/2015-07-25T07-10-57+00-00"	0
"2015_206/2015-07-25T07-13-57+00-00"	0
"2015_206/2015-07-25T07-16-57+00-00"	0
"2015_206/2015-07-25T07-19-58+00-00"	0
"2015_206/2015-07-25T07-22-58+00-00"	0
