"file"	"flag"
"2016_011/2016-01-11T19-51-35+00-00"	1
"2016_011/2016-01-11T19-54-36+00-00"	1
"2016_011/2016-01-11T19-57-36+00-00"	0
"2016_011/2016-01-11T20-00-36+00-00"	0
"2016_011/2016-01-11T20-03-37+00-00"	0
"2016_011/2016-01-11T20-06-37+00-00"	3
"2016_011/2016-01-11T20-09-37+00-00"	0
"2016_011/2016-01-11T20-12-37+00-00"	0
"2016_011/2016-01-11T20-15-38+00-00"	3
"2016_011/2016-01-11T20-18-38+00-00"	0
"2016_011/2016-01-11T20-21-38+00-00"	0
"2016_011/2016-01-11T20-24-38+00-00"	0
"2016_011/2016-01-11T20-27-39+00-00"	0
"2016_011/2016-01-11T20-30-39+00-00"	0
"2016_011/2016-01-11T20-33-39+00-00"	0
"2016_011/2016-01-11T20-36-39+00-00"	0
"2016_011/2016-01-11T20-39-40+00-00"	0
"2016_011/2016-01-11T20-42-40+00-00"	1
"2016_011/2016-01-11T20-45-40+00-00"	1
"2016_011/2016-01-11T20-48-40+00-00"	1
"2016_011/2016-01-11T20-51-41+00-00"	3
"2016_011/2016-01-11T20-54-41+00-00"	1
"2016_011/2016-01-11T20-57-41+00-00"	1
"2016_011/2016-01-11T21-00-41+00-00"	3
"2016_011/2016-01-11T21-03-41+00-00"	3
"2016_011/2016-01-11T21-06-42+00-00"	0
"2016_011/2016-01-11T21-09-42+00-00"	0
"2016_011/2016-01-11T21-12-42+00-00"	0
"2016_011/2016-01-11T21-15-42+00-00"	3
"2016_011/2016-01-11T21-18-43+00-00"	3
"2016_011/2016-01-11T21-21-43+00-00"	0
"2016_011/2016-01-11T21-24-43+00-00"	0
"2016_011/2016-01-11T21-27-43+00-00"	0
"2016_011/2016-01-11T21-30-43+00-00"	0
"2016_011/2016-01-11T21-33-44+00-00"	0
"2016_011/2016-01-11T21-36-44+00-00"	0
"2016_011/2016-01-11T21-39-44+00-00"	0
"2016_011/2016-01-11T21-42-44+00-00"	0
"2016_011/2016-01-11T21-45-45+00-00"	0
"2016_011/2016-01-11T21-48-45+00-00"	3
"2016_011/2016-01-11T21-51-45+00-00"	0
"2016_011/2016-01-11T21-54-45+00-00"	0
"2016_011/2016-01-11T21-57-45+00-00"	0
"2016_011/2016-01-11T22-00-46+00-00"	0
"2016_011/2016-01-11T22-03-46+00-00"	0
"2016_011/2016-01-11T22-06-46+00-00"	0
"2016_011/2016-01-11T22-09-46+00-00"	0
"2016_011/2016-01-11T22-12-47+00-00"	0
"2016_011/2016-01-11T22-15-47+00-00"	0
"2016_011/2016-01-11T22-18-47+00-00"	0
"2016_011/2016-01-11T22-21-47+00-00"	0
"2016_011/2016-01-11T22-24-47+00-00"	0
"2016_011/2016-01-11T22-27-48+00-00"	0
"2016_011/2016-01-11T22-30-48+00-00"	0
"2016_011/2016-01-11T22-33-48+00-00"	0
"2016_011/2016-01-11T22-36-48+00-00"	0
"2016_011/2016-01-11T22-39-49+00-00"	0
"2016_011/2016-01-11T22-42-49+00-00"	0
"2016_011/2016-01-11T22-45-49+00-00"	0
"2016_011/2016-01-11T22-48-50+00-00"	0
"2016_011/2016-01-11T22-51-51+00-00"	0
"2016_011/2016-01-11T22-54-51+00-00"	0
"2016_011/2016-01-11T22-57-51+00-00"	0
"2016_011/2016-01-11T23-00-51+00-00"	0
"2016_011/2016-01-11T23-03-52+00-00"	0
"2016_011/2016-01-11T23-06-52+00-00"	0
"2016_011/2016-01-11T23-09-52+00-00"	3
"2016_011/2016-01-11T23-12-52+00-00"	3
"2016_011/2016-01-11T23-15-53+00-00"	0
"2016_011/2016-01-11T23-18-53+00-00"	0
"2016_011/2016-01-11T23-21-53+00-00"	0
"2016_011/2016-01-11T23-24-53+00-00"	0
"2016_011/2016-01-11T23-27-54+00-00"	0
"2016_011/2016-01-11T23-30-54+00-00"	0
"2016_011/2016-01-11T23-33-54+00-00"	0
"2016_011/2016-01-11T23-36-54+00-00"	0
