file	flag
2019_275/2019-10-02T17-56-14+00-00	1
2019_275/2019-10-02T17-59-14+00-00	2
2019_275/2019-10-02T18-02-14+00-00	2
2019_275/2019-10-02T18-05-15+00-00	2
2019_275/2019-10-02T18-08-15+00-00	2
2019_275/2019-10-02T18-11-15+00-00	2
2019_275/2019-10-02T18-14-15+00-00	1
2019_275/2019-10-02T18-17-16+00-00	2
2019_275/2019-10-02T18-20-16+00-00	2
2019_275/2019-10-02T18-23-16+00-00	2
2019_275/2019-10-02T18-26-16+00-00	2
2019_275/2019-10-02T18-29-17+00-00	2
2019_275/2019-10-02T18-32-17+00-00	2
2019_275/2019-10-02T18-35-17+00-00	1
2019_275/2019-10-02T18-38-17+00-00	1
2019_275/2019-10-02T18-41-18+00-00	1
2019_275/2019-10-02T18-44-18+00-00	1
2019_275/2019-10-02T18-47-18+00-00	1
2019_275/2019-10-02T18-50-18+00-00	1
2019_275/2019-10-02T18-53-19+00-00	1
2019_275/2019-10-02T18-56-19+00-00	1
2019_275/2019-10-02T19-29-50+00-00	1
2019_275/2019-10-02T19-32-50+00-00	3
2019_275/2019-10-02T19-35-50+00-00	1
2019_275/2019-10-02T19-38-51+00-00	1
2019_275/2019-10-02T19-41-51+00-00	1
2019_275/2019-10-02T19-44-51+00-00	1
2019_275/2019-10-02T19-47-51+00-00	1
2019_275/2019-10-02T19-50-52+00-00	1
2019_275/2019-10-02T19-53-52+00-00	1
2019_275/2019-10-02T19-56-52+00-00	1
2019_275/2019-10-02T19-59-52+00-00	0
2019_275/2019-10-02T20-02-53+00-00	3
2019_275/2019-10-02T20-05-53+00-00	3
2019_275/2019-10-02T20-08-53+00-00	3
2019_275/2019-10-02T20-11-54+00-00	3
2019_275/2019-10-02T20-14-54+00-00	3
2019_275/2019-10-02T20-17-54+00-00	3
2019_275/2019-10-02T20-20-54+00-00	0
2019_275/2019-10-02T20-23-55+00-00	0
2019_275/2019-10-02T20-26-55+00-00	0
2019_275/2019-10-02T20-29-55+00-00	3
2019_275/2019-10-02T20-32-55+00-00	2
2019_275/2019-10-02T20-35-56+00-00	2
2019_275/2019-10-02T20-38-56+00-00	2
2019_275/2019-10-02T20-41-56+00-00	2
2019_275/2019-10-02T20-44-56+00-00	0
2019_275/2019-10-02T20-47-57+00-00	3
2019_275/2019-10-02T20-50-57+00-00	0
2019_275/2019-10-02T20-53-57+00-00	0
2019_275/2019-10-02T20-56-57+00-00	0
2019_275/2019-10-02T20-59-58+00-00	1
2019_275/2019-10-02T21-02-58+00-00	1
2019_275/2019-10-02T21-05-58+00-00	1
2019_275/2019-10-02T21-08-58+00-00	2
2019_275/2019-10-02T21-11-59+00-00	2
2019_275/2019-10-02T21-14-59+00-00	2
2019_275/2019-10-02T21-17-59+00-00	2
2019_275/2019-10-02T21-20-59+00-00	2
2019_275/2019-10-02T21-24-00+00-00	2
2019_275/2019-10-02T21-27-00+00-00	2
2019_275/2019-10-02T21-30-00+00-00	2
2019_275/2019-10-02T21-33-00+00-00	2
2019_275/2019-10-02T21-36-01+00-00	2
2019_275/2019-10-02T21-39-01+00-00	0
2019_275/2019-10-02T21-42-01+00-00	2
2019_275/2019-10-02T21-45-02+00-00	0
2019_275/2019-10-02T21-48-02+00-00	0
2019_275/2019-10-02T21-51-02+00-00	0
2019_275/2019-10-02T21-54-02+00-00	1
2019_275/2019-10-02T21-57-03+00-00	0
2019_275/2019-10-02T22-00-03+00-00	0
2019_275/2019-10-02T22-03-03+00-00	0
2019_275/2019-10-02T22-06-03+00-00	2
2019_275/2019-10-02T22-09-04+00-00	2
2019_275/2019-10-02T22-12-04+00-00	0
2019_275/2019-10-02T22-15-04+00-00	1
2019_275/2019-10-02T22-18-04+00-00	1
2019_275/2019-10-02T22-21-05+00-00	1
2019_275/2019-10-02T22-24-05+00-00	1
2019_275/2019-10-02T22-27-05+00-00	1
2019_275/2019-10-02T22-30-05+00-00	1
2019_275/2019-10-02T22-33-06+00-00	1
2019_275/2019-10-02T22-36-06+00-00	0
2019_275/2019-10-02T22-39-06+00-00	0
2019_275/2019-10-02T22-42-07+00-00	0
2019_275/2019-10-02T22-45-07+00-00	0
2019_275/2019-10-02T22-48-07+00-00	0
2019_275/2019-10-02T22-51-07+00-00	0
2019_275/2019-10-02T22-54-08+00-00	0
2019_275/2019-10-02T22-57-08+00-00	0
2019_275/2019-10-02T23-00-08+00-00	0
2019_275/2019-10-02T23-03-08+00-00	0
2019_275/2019-10-02T23-06-09+00-00	0
2019_275/2019-10-02T23-09-09+00-00	0
2019_275/2019-10-02T23-12-09+00-00	0
